127.0.0.1 - - [07/Jan/2018:19:21:18 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:21:22 -0700] "GET /RESTProgress/ HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:21:22 -0700] "GET /RESTProgress/app/appModule/progress.service.js HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:21:22 -0700] "GET /RESTProgress/app/appModule/progressList/progressList.component.js HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:22:12 -0700] "GET /RESTProgress/app/appModule/app.module.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:23:03 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:31:37 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 500 17815
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:32:39 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 500 2196
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:38:24 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:39:44 -0700] "GET /RESTProgress/app/appModule/app.module.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:40:08 -0700] "GET /RESTProgress/ping HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:40:26 -0700] "GET /RESTProgress/ping HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:40:34 -0700] "GET /RESTProgress/rest/ping HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:41:11 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:41:39 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 500 17815
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:42:12 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:42:31 -0700] "GET /RESTProgress/rest/actions HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [07/Jan/2018:19:54:54 -0700] "GET /RESTProgress/rest/actions/2 HTTP/1.1" 200 70
